,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
418,"frozenset({'pm10-Zelo dobra', 'pm1-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8016315049226441,1.0,0.8016315049226441,1.0,1.0,0.0,inf,0.0
430,"frozenset({'nox-Zelo nizka', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8016315049226441,1.0,0.8016315049226441,1.0,1.0,0.0,inf,0.0
431,"frozenset({'pm25-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8016315049226441,1.0,0.8016315049226441,1.0,1.0,0.0,inf,0.0
435,"frozenset({'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8016315049226441,1.0,0.8016315049226441,1.0,1.0,0.0,inf,0.0
460,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8016315049226441,1.0,0.8016315049226441,1.0,1.0,0.0,inf,0.0
504,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8016315049226441,1.0,0.8016315049226441,1.0,1.0,0.0,inf,0.0
534,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka'})",frozenset({'pm25-Zelo dobra'}),0.8016315049226441,1.0,0.8016315049226441,1.0,1.0,0.0,inf,0.0
535,"frozenset({'pm1-Zelo dobra', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8016315049226441,1.0,0.8016315049226441,1.0,1.0,0.0,inf,0.0
540,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8016315049226441,1.0,0.8016315049226441,1.0,1.0,0.0,inf,0.0
602,"frozenset({'h-Nizka', 'nox-Zelo nizka'})",frozenset({'pm25-Zelo dobra'}),0.5627566807313643,1.0,0.5627566807313643,1.0,1.0,0.0,inf,0.0
603,"frozenset({'h-Nizka', 'pm25-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.5627566807313643,1.0,0.5627566807313643,1.0,1.0,0.0,inf,0.0
605,frozenset({'h-Nizka'}),"frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.5627566807313643,1.0,0.5627566807313643,1.0,1.0,0.0,inf,0.0
608,frozenset({'h-Nizka'}),frozenset({'nox-Zelo nizka'}),0.5627566807313643,1.0,0.5627566807313643,1.0,1.0,0.0,inf,0.0
610,frozenset({'h-Nizka'}),frozenset({'pm25-Zelo dobra'}),0.5627566807313643,1.0,0.5627566807313643,1.0,1.0,0.0,inf,0.0
612,"frozenset({'h-Nizka', 'nox-Zelo nizka', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.5568495077355837,1.0,0.5568495077355837,1.0,1.0,0.0,inf,0.0
613,"frozenset({'h-Nizka', 'pm25-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.5568495077355837,1.0,0.5568495077355837,1.0,1.0,0.0,inf,0.0
