,support,itemsets
174,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
0,0.5627566807313643,"('h-Nizka',)"
12,0.5627566807313643,"('h-Nizka', 'nox-Zelo nizka')"
43,0.5627566807313643,"('h-Nizka', 'pm25-Zelo dobra', 'benzen-Dobro')"
44,0.5627566807313643,"('h-Nizka', 'pm25-Zelo dobra', 'nox-Zelo nizka')"
96,0.5627566807313643,"('h-Nizka', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka')"
46,0.5627566807313643,"('h-Nizka', 'benzen-Dobro', 'nox-Zelo nizka')"
11,0.5627566807313643,"('h-Nizka', 'benzen-Dobro')"
10,0.5627566807313643,"('h-Nizka', 'pm25-Zelo dobra')"
39,0.5568495077355837,"('h-Nizka', 'no2-Zelo dobra', 'pm25-Zelo dobra')"
40,0.5568495077355837,"('h-Nizka', 'no2-Zelo dobra', 'benzen-Dobro')"
41,0.5568495077355837,"('h-Nizka', 'no2-Zelo dobra', 'nox-Zelo nizka')"
9,0.5568495077355837,"('h-Nizka', 'no2-Zelo dobra')"
90,0.5568495077355837,"('h-Nizka', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro')"
91,0.5568495077355837,"('h-Nizka', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka')"
139,0.5568495077355837,"('h-Nizka', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka')"
93,0.5568495077355837,"('h-Nizka', 'no2-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka')"
47,0.5481293952180029,"('h-Nizka', 'benzen-Dobro', 'pm4-Zelo dobra')"
143,0.5481293952180029,"('h-Nizka', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
99,0.5481293952180029,"('h-Nizka', 'benzen-Dobro', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
13,0.5481293952180029,"('h-Nizka', 'pm4-Zelo dobra')"
98,0.5481293952180029,"('h-Nizka', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
